s8-start,a1-start,a2-start,s8-final,a1-final,a2-final
7.0,0.0,6.875,2.5006979,0.0676217,7.077091
7.0,0.6,5.25,3.413141,0.5603879,4.9807646
1.75,0.4,8.5,2.8116882,0.112893,6.9743886
5.25,0.8,5.25,3.6305804,0.6657297,4.5339936
3.5,0.6,6.875,3.3517561,0.3938268,5.7766994
3.5,0.0,8.5,2.5047442,-0.0941246,7.8802205
7.0,0.2,6.875,3.1777109,0.1910744,6.717532
5.25,0.4,6.875,3.4027357,0.2973847,6.2670139
1.75,0.6,8.5,3.4619493,0.2314536,6.6105475
3.5,0.2,8.5,3.1554375,0.0275811,7.5187661
3.5,0.8,6.875,4.1425971,0.5146127,5.4171307
7.0,0.8,5.25,4.3157612,0.6852349,4.630481
5.25,0.0,8.5,3.179273,-0.0702447,8.0124702
7.0,0.4,6.875,4.0395514,0.3160083,6.3637766
5.25,0.6,6.875,4.2096719,0.4190529,5.9034519
1.75,0.8,8.5,4.1632317,0.3480131,6.2400333
3.5,0.4,8.5,3.8712004,0.1472171,7.1493218
5.25,0.2,8.5,3.9757762,0.0523317,7.6490345
7.0,0.0,8.5,3.7746586,-0.0522269,8.1105104
3.5,0.6,8.5,4.7146719,0.2667309,6.7817364
7.0,0.6,6.875,4.9898005,0.4386492,6.0013794
5.25,0.8,6.875,5.1263531,0.5395457,5.5384209
5.25,0.4,8.5,4.8360014,0.1724664,7.2766975
7.0,0.2,8.5,4.7186289,0.0714633,7.748696
3.5,0.8,8.5,5.5220948,0.3819156,6.3987355
7.0,0.8,6.875,6.0082613,0.5587694,5.6319521
5.25,0.6,8.5,5.6913209,0.2890392,6.8918934
7.0,0.4,8.5,5.7121793,0.1920805,7.3751457
5.25,0.8,8.5,6.6342804,0.4046776,6.5072434
7.0,0.6,8.5,6.8064647,0.3112223,6.9986445
7.0,0.8,8.5,7.7582538,0.4247661,6.6021256
